Title,Director,Popularity
Pat & Mike,"Cukor, George",48.0
"Lion in Winter, THe","Harvey, Anthony",78.0
"Sea of Grass, The","Kazan, Elia",75.0
Guess Who's Coming to Dinner,"Kramer, Stanley",50.0
Desk Set,"Lang, Walter",51.0
Rooster Cogburn,"Miller, Stuart",76.0
On Golden Pond,"Rydell, Mark",23.0
Adam's Rib,,62.0
Boom Town,,73.0
Dragon Seed,,34.0
Little Women,,22.0
"Philadelphia Story, The",,25.0
Without Love,,66.0
Woman of the Year,,12.0
Juice,"Dickerson, Ernest R.",31.0
Hoosiers,"Anspaugh, David",2.0
Tin Men,"Levinson, Barry",50.0
"Last Temptation of Christ, The","Scorsese, Martin",32.0
Paris Trout,,53.0
Souvenir,"Reeve, Geoffrey",42.0
A Man for All Seasons,"Zinnemann, Fred",20.0
Knights & Emeralds,"Emes, Ian",
Masque of the Red Death,"Brand, Larry",9.0
"Adventures of Smilin' Jack, The","Taylor, Ray",77.0
Adventures in Dinosaur City,"Thompson, Brett",19.0
"Allnighter, The","Hoffs, Tamar Simon",71.0
Caddyshack,"Ramis, Harold",70.0
Tom Sawyer,"Taylor, Don",11.0
"Rita, Sue & Bob Too","Clarke, Alan",5.0
Hawk of Powder River,"Taylor, Ray",61.0
Tempest,"Taylor, Sam",33.0
Running Mates,"Neff, Thomas L.",63.0
Prettykill,"Kaczender, George",71.0
Judge Priest,"Ford, John",9.0
Harvey,"Koster, Henry",42.0
If Looks Could Kill,"Wilmington, Michael",10.0
Raising Arizona,"Coen, Joel",23.0
Once Around,"Hallström, Lasse",68.0
Loulou,"Pialat, Maurice",65.0
"World According to Garp, The","Hill, George Roy",59.0
Virus,"Fukasaku, Kinji",62.0
Northwest Passage,"Vidor, King",51.0
Gardens of Stone,"Coppola, Francis Ford",27.0
"Enemies, a Love Story","Mazursky, Paul",5.0
"Addams Family, The","Sonnenfeld, B.",8.0
Freaks,"Browning, Tod",61.0
Necessary Roughness,"Dragoti, Stan",60.0
A Show of Force,"Barreto, Bruno",1.0
"Competition, The","Oliansky, Joel",45.0
Crossing Delancey,"Silver, Joan Micklin",6.0
"State of Things, The","Wenders, Wim",73.0
Business As Usual,"Barrett, Lezli-An",17.0
A Touch of Class,"Frank, Melvin",79.0
Women in Love.,"Russell, Ken",18.0
Salome's Last Dance,"Russell, Ken",76.0
Casino,"Chaffey, Don",5.0
Smiles of a Summer Night,"Bergman, Ingmar",58.0
New Year's Day,"Jaglom, Henry",88.0
Mephisto,"Szabó, István",80.0
Easy Virtue,"Hitchcock, Alfred",45.0
Swing It Sailor!,,6.0
Strictly Business,"Hooks, Kevin",3.0
Blame It on Rio,"Donen, Stanley",10.0
Straight to Hell,"Cox, Alex",47.0
A View to a Kill,,44.0
American Anthem,"Magnoli, Albert",74.0
Bedtime Story,"Levy, Ralph",7.0
"Courtship of Eddie's Father, The",,43.0
"Night Train to Katmandu, THe","Wiemer, Robert",43.0
Port of Call,"Bergman, Ingmar",29.0
Paper Moon,"Bogdanovich, Peter",3.0
Yellowbeard,"Damski, Mel",34.0
Adventures of Sherlock Holmes' Smarter,"Wilder, Gene",42.0
Flashback,"Amurri, Franco",19.0
"World's Greatest Lover, The","Wilder, Gene",42.0
Killer's Kiss,"Kubrick, Stanley",66.0
"Deceivers, The","Meyer, Nicholas",14.0
Breathless,"McBride, Jim",51.0
